省庁名,部局所名,会計名,分類種類名,法人名,所在地,勘定名１,政府出資現在額１　（円）,勘定名２,政府出資現在額２　（円）,勘定名３,政府出資現在額３　（円）,勘定名４,政府出資現在額４　（円）,勘定名５,政府出資現在額５　（円）,勘定名６,政府出資現在額６　（円）,合計額　（円）,注釈
経済産業省,中小企業庁,東日本大震災復興特別会計,普通財産,株式会社　日本政策金融公庫,東京都千代田区霞が関１−３−１,危機対応円滑化業務勘定,108833044691,中小企業者向け融資・証券化支援保証業務勘定,104874527269,-,-,-,-,-,-,-,-,213707571960,※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は4787276757819円である。
経済産業省,資源エネルギー庁,エネルギー対策特別会計,普通財産,旧石油公団保有株式,東京都千代田区霞が関１−３−１,-,498442587715,-,-,-,-,-,-,-,-,-,-,498442587715,-
国土交通省,大臣官房会計課,自動車安全特別会計,普通財産,独立行政法人　交通安全環境研究所,東京都千代田区霞が関２−１−３,審査勘定,10035680966,-,-,-,-,-,-,-,-,-,-,10035680966,※当該法人へは、一般会計からも出資が行われており、国有財産の総額は14960895873円である。
国土交通省,大臣官房会計課,自動車安全特別会計,普通財産,自動車検査独立行政法人,東京都千代田区霞が関２−１−３,-,15387062101,-,-,-,-,-,-,-,-,-,-,15387062101,-
国土交通省,大臣官房会計課,自動車安全特別会計,普通財産,独立行政法人　自動車事故対策機構,東京都千代田区霞が関２−１−３,-,9031619298,-,-,-,-,-,-,-,-,-,-,9031619298,-
国土交通省,国土技術政策総合研究所,自動車安全特別会計,普通財産,国立研究開発法人　港湾空港技術研究所,神奈川県横須賀市長瀬３−１−１,-,114792578,-,-,-,-,-,-,-,-,-,-,114792578,※当該法人へは、一般会計からも出資が行われており、国有財産の総額は11101090640円である。
国土交通省,航空局,自動車安全特別会計,普通財産,中部国際空港株式会社,東京都千代田区霞が関２−１−３,-,36195203101,-,-,-,-,-,-,-,-,-,-,36195203101,-
国土交通省,航空局,自動車安全特別会計,普通財産,国立研究開発法人　電子航法研究所,東京都千代田区霞が関２−１−３,-,1050453194,-,-,-,-,-,-,-,-,-,-,1050453194,※当該法人へは、一般会計からも出資が行われており、国有財産の総額は4585187632円である。
国土交通省,航空局,自動車安全特別会計,普通財産,独立行政法人　航空大学校,東京都千代田区霞が関２−１−３,一般勘定,78476649,-,-,-,-,-,-,-,-,-,-,78476649,※当該法人へは、一般会計からも出資が行われており、国有財産の総額は3924595364円である。
国土交通省,航空局,自動車安全特別会計,普通財産,独立行政法人　空港周辺整備機構,東京都千代田区霞が関２−１−３,-,1260748078,-,-,-,-,-,-,-,-,-,-,1260748078,-
国土交通省,航空局,自動車安全特別会計,普通財産,成田国際空港株式会社,東京都千代田区霞が関２−１−３,-,235909149471,-,-,-,-,-,-,-,-,-,-,235909149471,※当該法人へは、一般会計からも出資が行われており、国有財産の総額は262083711858円である。
国土交通省,航空局,自動車安全特別会計,普通財産,新関西国際空港株式会社,東京都千代田区霞が関２−１−３,-,531310718382,-,-,-,-,-,-,-,-,-,-,531310718382,※当該法人へは、他の特別会計からも出資が行われており、国有財産の総額は580537901090円である。
環境省,環境省総合環境政策局,東日本大震災復興特別会計,普通財産,中間貯蔵・環境安全事業株式会社,東京都千代田区霞が関１−２−２,中間貯蔵事業勘定,2865150830,-,-,-,-,-,-,-,-,-,-,2865150830,-
