省庁名,部局所名,会計名,分類種類名,法人名,所在地,勘定名１,政府出資現在額１　（円）,勘定名２,政府出資現在額２　（円）,勘定名３,政府出資現在額３　（円）,勘定名４,政府出資現在額４　（円）,勘定名５,政府出資現在額５　（円）,勘定名６,政府出資現在額６　（円）,合計額　（円）,注釈
財務省,理財局,一般会計,普通財産,独立行政法人　国立高等専門学校機構,東京都千代田区霞が関３−１−１,-,246776674768,-,-,-,-,-,-,-,-,-,-,246776674768,-
財務省,理財局,一般会計,普通財産,独立行政法人　大学評価・学位授与機構,東京都千代田区霞が関３−１−１,-,5679923885,-,-,-,-,-,-,-,-,-,-,5679923885,-
財務省,理財局,一般会計,普通財産,独立行政法人　国立大学財務・経営センター,東京都千代田区霞が関３−１−１,一般勘定,985784509,-,-,-,-,-,-,-,-,-,-,985784509,-
財務省,理財局,一般会計,普通財産,独立行政法人　国立病院機構,東京都千代田区霞が関３−１−１,-,442897081300,-,-,-,-,-,-,-,-,-,-,442897081300,-
財務省,理財局,一般会計,普通財産,独立行政法人　医薬品医療機器総合機構,東京都千代田区霞が関３−１−１,審査等勘定,9524224339,-,-,-,-,-,-,-,-,-,-,9524224339,-
財務省,理財局,一般会計,普通財産,独立行政法人　中小企業基盤整備機構,東京都千代田区霞が関３−１−１,一般勘定,898882965314,産業基盤整備勘定,44031568196,小規模企業共済勘定,19345939492,中小企業倒産防止共済勘定,48148486060,-,-,-,-,1010408959062,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は1100559909790円である。
財務省,理財局,一般会計,普通財産,独立行政法人　都市再生機構,東京都千代田区霞が関３−１−１,都市再生勘定,1028851661841,-,-,-,-,-,-,-,-,-,-,1028851661841,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は1097563133991円である。
財務省,理財局,一般会計,普通財産,独立行政法人　奄美群島振興開発基金,東京都千代田区霞が関３−１−１,-,1582261241,-,-,-,-,-,-,-,-,-,-,1582261241,※当該法人へは、特別会計からも出資が行われており、国有財産の総額は7249028647円である。
財務省,理財局,一般会計,普通財産,独立行政法人　環境再生保全機構,東京都千代田区霞が関３−１−１,公害健康被害補償予防業務勘定,45678584875,基金勘定,14115756328,承継勘定,22194286302,-,-,-,-,-,-,81988627505,-
財務省,理財局,一般会計,普通財産,国立大学法人　北海道大学,東京都千代田区霞が関３−１−１,-,210397713313,-,-,-,-,-,-,-,-,-,-,210397713313,-
財務省,理財局,一般会計,普通財産,国立大学法人　北海道教育大学,東京都千代田区霞が関３−１−１,-,41261217569,-,-,-,-,-,-,-,-,-,-,41261217569,-
財務省,理財局,一般会計,普通財産,国立大学法人　室蘭工業大学,東京都千代田区霞が関３−１−１,-,12739499369,-,-,-,-,-,-,-,-,-,-,12739499369,-
