省庁名,部局名,部局所名,会計名,分類種類名,根拠法令,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,宿舎敷地,北海道札幌市,国家公務員共済組合連合会,"62,415,498","3,460.84","62,415,498",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,南沢あすなろ公園敷地,北海道札幌市南区南沢３条３丁目２０８６番,札幌市,"611,422",239.5,"611,422",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,40,60
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,澄川むつみ公園敷地（街区）,北海道札幌市南区澄川１条２丁目４７４先,札幌市,"60,627,079",995.03,"60,627,079",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,下水道法 第３６条,公共下水道管埋設敷地,北海道札幌市南区真駒内本町２丁目１７番８１のうち,札幌市,"23,120,477",802.46,"23,120,477",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,宿舎敷地,北海道札幌市,国家公務員共済組合連合会,"605,244,560","17,266.15","605,244,560",0,0,0,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,藻南公園（総合）,北海道札幌市南区真駒内柏丘１２丁目５９８−３,札幌市,"886,553","104,774.78","886,553",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,40,60
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第１項,水道管敷地,北海道札幌市南区石山１条２丁目１２２番１先,札幌市,"58,824","1,597.52","58,824",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,簾舞花岡公園敷地,北海道札幌市南区簾舞２条５丁目５５８番３,札幌市,"15,253,193","1,779.25","15,253,193",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,40,60
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,支笏洞爺国立公園敷地（自然公園）,北海道札幌市南区定山渓温泉東４丁目１０１３番２、同番３,北海道,"571,376",307.78,"571,376",0,0,0,0,0,0,市街化区域,商業地域,80,400
財務省,北海道財務局,本局,一般会計,普通財産,国家公務員共済組合法 第３６条,宿舎敷地,北海道札幌市,国家公務員共済組合連合会,"356,235,083","10,660.17","356,235,083",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第２項第２号,八軒星の子保育園敷地,北海道札幌市西区八軒４条西５丁目９５−３５,社会福祉法人　八軒明星福祉会,"84,585,153","1,351.47","84,585,153",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,農試公園,北海道札幌市西区八軒５条西８丁目９５−３１　外１,札幌市,"148,481,573","96,621.74","148,140,429",0,0,0,"341,144",0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,八軒ルピナス公園用地,北海道札幌市西区八軒６条西２丁目１１４番３２,札幌市,"27,337,274",498.04,"27,337,274",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,発寒大空公園敷地（近隣公園）,北海道札幌市西区発寒４条２丁目９３−１外,札幌市,"140,893,781","16,202.24","140,893,781",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,中洲橋公園用地（街区）,北海道札幌市西区西野１２条８丁目９４６−４外,札幌市,"72,362,617","4,708.84","72,362,617",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,40,60
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,琴似なかよし公園（都市）,北海道札幌市西区琴似３条６丁目６５０番７９,札幌市,"65,667,181","1,060.25","65,667,181",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,五天山公園（総合）,北海道札幌市西区福井５１３番１外,札幌市,"1,804,907","3,099.99","1,804,907",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,馬場公園敷地（近隣）,北海道札幌市厚別区厚別南１丁目９８９−５先,札幌市,"21,534","1,806.98","21,534",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,もみじ台北公園敷地（近隣）,北海道札幌市厚別区もみじ台北５丁目１３−２,札幌市,"61,160","8,233.94","61,160",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,50,80
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,もみじ台緑地（都市公園）,北海道札幌市厚別区下野幌テクノパーク１丁目２０１８番１外2,札幌市,"37,439","5,145.19","37,439",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,野幌森林公園用地（自然）,北海道札幌市厚別区下野幌５０−６先,北海道,"746,814","50,697.56","746,814",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,下水道法 第３６条,公共下水道敷地,北海道札幌市厚別区厚別町小野幌６４４番３先,札幌市,"17,692","1,270.83","17,692",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,青葉緑地（都市緑地公園）,北海道札幌市厚別区青葉町７丁目７５５−３１,札幌市,"5,595,997","1,181.23","5,595,997",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,40,60
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第１項,上水道管及び流水管敷地,北海道札幌市清田区清田４４７番外,札幌市,"4,180","2,406.40","4,180",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,北海道財務局,本局,一般会計,普通財産,国有財産特別措置法 第２条第２項第４号,特別養護老人ホ−ム敷地,北海道札幌市清田区北野７条４丁目４０４番,社会福祉法人　厚仁会,"101,999,984","5,411.42","101,999,984",0,0,0,0,0,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,平岡公園敷地（総合公園）,海道札幌市清田区平岡公園２７９０番１外4,札幌市,"33,323,313","9,133.00","33,323,313",0,0,0,0,0,0,市街化区域,第一種低層住居専用地域,40,60
財務省,北海道財務局,本局,一般会計,普通財産,国有財産法 第２２条第１項第１号,消火栓敷地,北海道室蘭市御前水町２丁目７８−１２,室蘭市,"6,740",1.26,"6,740",0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
