省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,不動産の信託受益権価格　（円）,地上権等数量,地上権等価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,東北財務局,山形財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,山形県村山市中央１−１０８５−２０,"16,892,977","1,231.17","16,891,652",0,0,0,0,"1,325",0,0,0,非線引,準工業地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都墨田区立花１丁目１−１９,"146,915,541",0,"134,520,607",529.32,529.32,"12,394,920",0,14,0,0,0,市街化区域,第一種住居地域,60,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都葛飾区立石８−３４９−１,"288,311,177","1,002.35","234,784,449",337.69,"1,021.12","42,690,135","3,216,000","7,620,593",0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都港区元麻布２−３２２−１のうち,"1,767,443,391","1,758.44","1,750,249,187",276.78,276.78,"6,278,655","10,501,465","414,084",0,0,0,市街化区域,第一種中高層住居専用地域,60,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都世田谷区代沢５−１１１６−３,"262,807,714",542.43,"262,601,211",137.32,164.73,2,0,"206,501",0,0,0,市街化区域,第一種低層住居専用地域,50,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都中野区東中野１—７５—１２,"216,155,956",524.62,"209,585,690",206.41,764.41,"6,385,234",0,"185,032",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都杉並区下井草１−９２４−４,"158,493,440",468.4,"154,244,120",199.38,393.24,"4,204,058","22,651","22,611",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都世田谷区下馬２−２５９−２１５,"604,368,511","1,334.09","592,778,877",285.38,"1,232.18","11,135,778","51,539","402,317",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都練馬区上石神井３丁目７９−９１,"467,942,316","1,986.25","449,297,695",372.96,"1,491.84","15,204,089","1,119,822","2,320,710",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都北区赤羽台３丁目７０２番１,"243,216,845",923.62,"223,151,210",304.36,"1,291.20","17,433,012",0,"2,632,623",0,0,0,市街化区域,第一種中高層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都中野区上高田５丁目５−２,"695,226,606","3,181.36","648,997,440",663.31,"3,967.98","44,892,661","704,709","631,796",0,0,0,市街化区域,第一種低層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都大田区西糀谷１−１２９８−１外３筆,"999,384,731","2,983.29","968,677,246",770.02,"1,540.04","29,118,550","21,320","1,567,615",0,0,0,市街化区域,近隣商業地域 外,80,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都大田区上池台４−１７０,"301,372,555",781.52,"289,449,999",286.83,860.49,"9,732,208","2,006,400","183,948",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都中野区江古田４−１７３２−３,"354,618,989","1,528.39","311,791,559",482.37,"1,432.96","38,930,889",0,"3,896,541",0,0,0,市街化区域,第一種低層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都足立区中央本町２−５０−２９,"347,548,450","1,535.85","327,389,465",421.46,"1,380.50","19,697,427",0,"461,558",0,0,0,市街化区域,近隣商業地域,80,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都北区滝野川３−５３−１３,"222,779,495",846.74,"214,978,818",189.05,505.45,"7,523,509",0,"277,168",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都新宿区中井２−１７２６−６,"59,936,392",253.78,"54,209,545",111.69,218.61,"5,690,885","3,391","32,571",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都杉並区高井戸東３−１８９１−５,"881,901,410","3,841.44","829,751,040",784.39,"5,214.84","51,564,345","315,297","270,728",0,0,0,市街化区域,第二種住居地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都世田谷区下馬２丁目３２２−１,"234,809,918",810.98,"228,958,314",156.6,519.92,"5,851,594",0,10,0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都世田谷区岡本２−４３９−８,"844,968,283","3,617.75","824,697,310",850.89,"2,245.00","19,400,084","247,633","623,256",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都杉並区高円寺南５丁目７７７−１,"1,195,085,694","2,586.30","1,165,182,462",709.96,"2,739.44","27,676,208","1,679,971","547,053",0,0,0,市街化区域,近隣商業地域,80,400
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都練馬区大泉学園町７丁目５８７番４,"307,285,501","1,439.03","288,757,843",278.54,822.5,"17,573,644","89,191","864,823",0,0,0,市街化区域,第一種住居地域,60,300
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都世田谷区下馬２−２５９−１６４,"553,498,478","1,231.40","538,662,384",230.94,844.3,"14,638,635","44,509","152,950",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都世田谷区弦巻３−９−２,"971,121,307","2,151.39","945,408,972",712.48,"2,038.55","25,136,351","541,665","34,319",0,0,0,市街化区域,第一種低層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都世田谷区上用賀４丁目８１番１,"1,076,737,637","2,773.42","1,063,129,541",519.84,"1,455.84","12,379,299",0,"1,228,797",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都世田谷区上馬５−６−２３,"162,461,193",432.29,"154,545,300",179.5,471.1,"7,338,573","196,422","380,898",0,0,0,市街化区域,第一種低層住居専用地域,60,150
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都杉並区下井草１丁目９３２番１０,"84,182,931",275.33,"74,889,760",155.2,293.4,"9,038,866",0,"254,305",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都杉並区高井戸東４−１９０４−２９,"640,236,253","1,973.15","618,842,980",385.84,922.9,"20,109,002","1,691","1,282,580",0,0,0,市街化区域,第一種低層住居専用地域,50,100
財務省,関東財務局,東京財務事務所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都世田谷区野毛１−４０−１,"7,435,550,543","28,638.36","7,216,560,509","4,774.08","14,468.74","215,893,132","29,139","3,067,763",0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都立川市富士見町２−１０４−１のうち,"14,838,430,412","86,475.94","14,838,430,412",729.78,729.78,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,,
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都立川市曙町３−１２１−１０,"38,166,466",176.7,"38,166,465",0,0,0,0,1,0,0,0,市街化区域,第一種低層住居専用地域,40,80
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都東久留米市上の原２−３４１−１外１筆,"448,427,079","4,661.47","407,422,582",771.81,"2,564.51","39,505,893","476,794","1,021,810",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都東久留米市上の原２−４１２−１,"543,411,695","6,192.81","538,774,470",863.94,"3,294.72","3,345,915",0,"1,291,310",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都立川市泉町１１１１−５のうち外,"3,431,088,992","35,741.20","3,431,088,992",0,0,0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,,
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都清瀬市梅園１−６１７−６,"137,480,316",895.92,"130,276,623",243.61,665.79,"6,804,408",0,"399,285",0,0,0,市街化区域,第一種中高層住居専用地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都立川市高松町２−１７６−２,"645,891,249","2,256.29","604,081,034","1,042.95","2,556.56","37,917,175",0,"3,893,040",0,0,0,市街化区域,近隣商業地域,80,300
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都立川市錦町４−１２−１,"195,187,230",755.74,"185,005,152",185.28,354.64,"9,900,255","132,611","149,212",0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,東京財務事務所立川出張所,財政投融資特別会計（特定国有財産整備勘定）,普通財産,,東京都武蔵野市西久保３−３３１−１９,"103,278,092",278.16,"103,199,028",79.3,222.04,2,0,"79,062",0,0,0,市街化区域,準工業地域,60,200
