省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,貸付相手方,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,関東財務局,本局,一般会計,普通財産,宿舎,埼玉県日高市,北関東防衛局,"234,660,381","9,490.43","234,660,381",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,関東財務局,本局,一般会計,普通財産,宿舎,埼玉県さいたま市北区日進町１丁目,北関東防衛局,"1,525,949,685","13,784.55","1,525,949,685",0,0,0,0,0,0,市街化調整区域,都市計画用途地域指定なし,70,400
財務省,関東財務局,水戸財務事務所,一般会計,普通財産,仮設庁舎敷地,茨城県水戸市北見町１２０番のうち外,水戸地方検察庁,"182,787,720","4,994.20","182,787,720",0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
財務省,関東財務局,長野財務事務所,一般会計,普通財産,地下埋設物の調査及び撤去,長野県長野市大字鶴賀字峯村４１−３,関東信越国税局,"60,219,426","1,208.74","60,219,426",0,0,0,0,0,0,市街化区域,第一種住居地域,60,200
財務省,関東財務局,長野財務事務所,一般会計,普通財産,工作物の撤去及び新設工事,長野県諏訪市大字上諏訪字鍜冶畑６６０１−１,関東信越国税局,"7,607,943",635.89,"7,607,943",0,0,0,0,0,0,非線引,第一種住居地域,60,200
財務省,北陸財務局,本局,一般会計,普通財産,宿舎,石川県白山市,近畿中部防衛局,"145,423,878","7,263.93","145,423,878",0,0,0,0,0,0,市街化区域,準工業地域,60,200
財務省,東海財務局,津財務事務所,一般会計,普通財産,サミット開催に伴う海上警備本部,三重県志摩市阿児町鵜方字川向井３１３６番４３,第四管区海上保安本部,"100,876,673","2,148.30","52,934,112",700.16,700.16,"44,987,802",0,"2,954,759",0,非線引,都市計画用途地域指定なし,60,200
財務省,東海財務局,岐阜財務事務所,一般会計,普通財産,来客用駐車場,岐阜県岐阜市佐久間町６１番,名古屋国税局,"74,700,724","1,053.28","74,700,724",0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
財務省,東海財務局,岐阜財務事務所,一般会計,普通財産,宿舎への進入路,岐阜県加茂郡八百津町八百津字芦都３３１６番　外６筆,中部地方整備局,"4,438,874",369.26,"4,438,874",0,0,0,0,0,0,非線引,都市計画用途地域指定なし,70,200
財務省,近畿財務局,本局,一般会計,普通財産,宿舎,大阪府豊中市,近畿中部防衛局,"738,240,302","7,237.65","738,240,300",0,0,0,0,2,0,市街化区域,第二種中高層住居専用地域,60,200
財務省,近畿財務局,京都財務事務所,一般会計,普通財産,宿舎,京都府宇治市伊勢田町南山２１—５，広野町岩ヶ鼻１—６,近畿中部防衛局,"244,961,305","3,599.36","244,961,305",0,0,0,0,0,0,市街化区域,第二種住居地域,60,200
