省庁名,部局所名,会計名,分類種類名,法人名,所在地,勘定名１,政府出資現在額１　（円）,勘定名２,政府出資現在額２　（円）,勘定名３,政府出資現在額３　（円）,勘定名４,政府出資現在額４　（円）,勘定名５,政府出資現在額５　（円）,勘定名６,政府出資現在額６　（円）,合計額　（円）,注釈
経済産業省,中小企業庁,東日本大震災復興特別会計,普通財産,独立行政法人　中小企業基盤整備機構,東京都千代田区霞が関１−３−１,一般勘定,"50,517,422,971",,,,,,,,,,,"50,517,422,971","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は1,100,559,909,790円である。"
経済産業省,中小企業庁,東日本大震災復興特別会計,普通財産,株式会社　日本政策金融公庫,東京都千代田区霞が関１−３−１,危機対応円滑化業務勘定,"108,833,044,691",中小企業者向け融資・証券化支援保証業務勘定,"104,874,527,269",,,,,,,,,"213,707,571,960","※当該法人へは、一般会計及び他の特別会計からも出資が行われており、国有財産の総額は4,787,276,757,819円である。"
経済産業省,資源エネルギー庁,エネルギー対策特別会計,普通財産,旧石油公団保有株式,東京都千代田区霞が関１−３−１,,"498,442,587,715",,,,,,,,,,,"498,442,587,715",
国土交通省,大臣官房会計課,自動車安全特別会計,普通財産,独立行政法人　交通安全環境研究所,東京都千代田区霞が関２−１−３,審査勘定,"10,035,680,966",,,,,,,,,,,"10,035,680,966","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は14,960,895,873円である。"
国土交通省,大臣官房会計課,自動車安全特別会計,普通財産,自動車検査独立行政法人,東京都千代田区霞が関２−１−３,,"15,387,062,101",,,,,,,,,,,"15,387,062,101",
国土交通省,大臣官房会計課,自動車安全特別会計,普通財産,独立行政法人　自動車事故対策機構,東京都千代田区霞が関２−１−３,,"9,031,619,298",,,,,,,,,,,"9,031,619,298",
国土交通省,国土技術政策総合研究所,自動車安全特別会計,普通財産,国立研究開発法人　港湾空港技術研究所,神奈川県横須賀市長瀬３−１−１,,"114,792,578",,,,,,,,,,,"114,792,578","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は11,101,090,640円である。"
国土交通省,航空局,自動車安全特別会計,普通財産,中部国際空港株式会社,東京都千代田区霞が関２−１−３,,"36,195,203,101",,,,,,,,,,,"36,195,203,101",
国土交通省,航空局,自動車安全特別会計,普通財産,国立研究開発法人　電子航法研究所,東京都千代田区霞が関２−１−３,,"1,050,453,194",,,,,,,,,,,"1,050,453,194","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は4,585,187,632円である。"
国土交通省,航空局,自動車安全特別会計,普通財産,独立行政法人　航空大学校,東京都千代田区霞が関２−１−３,一般勘定,"78,476,649",,,,,,,,,,,"78,476,649","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は3,924,595,364円である。"
国土交通省,航空局,自動車安全特別会計,普通財産,独立行政法人　空港周辺整備機構,東京都千代田区霞が関２−１−３,,"1,260,748,078",,,,,,,,,,,"1,260,748,078",
国土交通省,航空局,自動車安全特別会計,普通財産,成田国際空港株式会社,東京都千代田区霞が関２−１−３,,"235,909,149,471",,,,,,,,,,,"235,909,149,471","※当該法人へは、一般会計からも出資が行われており、国有財産の総額は262,083,711,858円である。"
国土交通省,航空局,自動車安全特別会計,普通財産,新関西国際空港株式会社,東京都千代田区霞が関２−１−３,,"531,310,718,382",,,,,,,,,,,"531,310,718,382","※当該法人へは、他の特別会計からも出資が行われており、国有財産の総額は580,537,901,090円である。"
環境省,環境省総合環境政策局,東日本大震災復興特別会計,普通財産,中間貯蔵・環境安全事業株式会社,東京都千代田区霞が関１−２−２,中間貯蔵事業勘定,"2,865,150,830",,,,,,,,,,,"2,865,150,830",
