省庁名,部局名,部局所名,会計名,分類種類名,用途施設名称,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,建物数量（建）　（u）,建物数量（延）　（u）,建物価格　（円）,立木竹価格　（円）,工作物価格　（円）,機械器具価格　（円）,船舶数量,船舶価格　（円）,都市計画区域,用途地域,建ぺい率,容積率
財務省,中国財務局,山口財務事務所,一般会計,普通財産,ＦＡＣ４０９２岩国飛行場,山口県岩国市三角町,"297,426,621,301","7,827,528.52","140,399,602,105","352,614.09","570,830.59","54,475,310,105","148,762,202","102,402,946,889",0,0,0,市街化調整区域,,,
財務省,福岡財務支局,本局,一般会計,普通財産,ＦＡＣ５００１板付飛行場,福岡県福岡市博多区大字東平尾,"366,353,602","14,636.58","366,353,597","2,868.20","2,868.20",1,0,4,0,0,0,市街化調整区域,都市計画用途地域指定なし,40,50
財務省,福岡財務支局,佐賀財務事務所,一般会計,普通財産,ＦＡＣ５０７３背振山通信施設,佐賀県神埼市背振町服巻字園田,"24,653,727","2,978.15","5,450,013",204.3,204.3,"3,444,395",0,"15,759,319",0,0,0,都市計画区域外,都市計画用途地域指定なし,70,400
財務省,福岡財務支局,長崎財務事務所,一般会計,普通財産,ＦＡＣ５０３９横瀬貯油所,長崎県西海市西海町横瀬郷,"12,868,824,433","678,511.88","2,229,119,681","11,041.19","12,528.61","1,983,350,677","8,247,199","8,648,106,876",0,0,0,都市計画区域外,都市計画用途地域指定なし,70,400
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０３２赤崎貯油所,長崎県佐世保市赤崎町,"10,182,014,972","751,018.58","6,296,952,733","15,097.93","15,168.83","393,690,677","270,899","3,491,100,663",0,0,0,市街化区域,工業専用地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０３６庵崎貯油所,長崎県佐世保市庵浦町,"1,064,086,847","227,050.54","310,606,772",642.12,642.12,5,"105,691","753,374,379",0,0,0,市街化調整区域,都市計画用途地域指定なし,70,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０３０佐世保ドライ・ドック地区,長崎県佐世保市立神町ほか,"419,619,255","28,557.54","409,515,123","1,262.89","1,797.49","6,031,570","36,071","4,036,484",7,0,0,市街化区域,工業専用地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０８６立神港区,長崎県佐世保市立神町ほか,"4,961,734,602","129,605.92","1,864,483,047","24,533.04","37,342.68","1,663,653,397","431,039","1,433,167,112",7,0,0,市街化区域,工業専用地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５０２９佐世保海軍施設,長崎県佐世保市平瀬町,"27,480,091,319","486,482.12","9,883,391,978","74,521.13","160,397.33","7,878,184,564","36,462,940","9,682,051,833",0,4,4,市街化区域,第一種住居地域,60,200
財務省,福岡財務支局,長崎財務事務所佐世保出張所,一般会計,普通財産,ＦＡＣ５１１８崎辺海軍補助施設,長崎県佐世保市崎辺町,"1,870,832,088","129,397.85","1,866,802,566",741.13,741.13,"4,004,017","1,796","23,709",0,0,0,市街化区域,工業専用地域,60,200
