省庁名,部局名,部局所名,会計名,分類種類,所在地,口座別合計価格　（円）,土地数量　（u）,土地価格　（円）,都市計画区域,用途地域,建ぺい率,容積率,処理方法
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市青柳町３番６２,"17,821,485",720.06,"17,821,485",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,函館財務事務所,一般会計,普通財産,北海道函館市高丘町１１０番４、同番５,"10,857,840",517.04,"10,857,840",市街化区域,第一種低層住居専用地域,50,100,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市オタモイ３丁目４番８８、５０番１,"13,913,646","1,048.82","13,913,646",市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市入船５丁目１０番１３,"1,488,883",258.61,"1,488,883",市街化区域,第二種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市塩谷２丁目５７３番３,"21,943",176.09,"21,943",市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市塩谷３丁目１２番１３、同番１５、１８番１８,"3,787,765",880.05,"3,787,765",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市奥沢３丁目８２番４８,"1,304,247",152.03,"1,304,247",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市奥沢３丁目８２番５２,"2,457,252",227.16,"2,457,252",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市幸３丁目２４番３,"11,167,578","1,104.45","11,167,578",市街化区域,第一種低層住居専用地域,40,60,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市幸３丁目５番１、同番１０、同番１１,"4,379,268","1,085.32","4,379,268",市街化区域,第一種低層住居専用地域,40,60,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市新光２丁目２２番１,"52,646,244","3,316.09","52,646,244",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市有幌町４１１番１,"2,384,646",541.24,"2,384,646",市街化区域,準工業地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜１丁目８５番,"11,689,266",837.4,"11,689,266",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜２丁目３００番３５,"27,946,699","1,980.35","27,946,699",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜２丁目３８５番１、同番２,"3,796,431",617.75,"3,796,431",市街化区域,第一種中高層住居専用地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜２丁目６２６番１、６２７番１、同番２、同番３、同番４、６２８番２、同番３、同番４,"92,401,470","4,601.39","92,401,470",市街化区域,第一種中高層住居専用地域,60,200,地方公共団体等へ売払
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市桜３丁目５３０番５、同番７、５８４番,"23,742,247","2,237.42","23,742,247",市街化区域,第一種住居地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市港町３５番１,"6,415,369",399.68,"6,415,369",市街化区域,準工業地域,60,200,一般競争入札（売残）
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市港町８番、１４６番５,"20,691,720",899.64,"20,691,720",市街化区域,準工業地域,60,300,地方公共団体等において利用
財務省,北海道財務局,小樽出張所,一般会計,普通財産,北海道小樽市潮見台１丁目５番１,"9,557,680","1,054.92","9,557,680",市街化区域,第一種住居地域,60,200,一般競争入札（未実施）
